no,id,kor,eng,math,total,avg,rank,c_date
1,Joelynn,55,87,68,210,70,0,2024-04-04
2,Bambie,73,69,77,219,73,0,2024-04-01
3,Orin,92,97,90,279,93,0,2024-04-04
4,Puff,98,60,78,236,78.66666667,0,2024-04-04
5,Godfree,66,72,59,197,65.66666667,0,2024-04-06
6,Penny,64,66,63,193,64.33333333,0,2024-04-08
7,Matti,84,81,97,262,87.33333333,0,2024-04-02
8,Catherin,58,69,95,222,74,0,2024-04-02
9,Flora,95,58,72,225,75,0,2024-04-03
10,Rhodia,60,97,72,229,76.33333333,0,2024-04-09
11,Atlante,63,99,87,249,83,0,2024-04-09
12,Zacharias,80,59,72,211,70.33333333,0,2024-04-01
13,Teddi,74,91,76,241,80.33333333,0,2024-04-03
14,Willey,77,65,79,221,73.66666667,0,2024-04-05
15,Rosina,81,55,91,227,75.66666667,0,2024-04-08
16,Lothaire,82,100,50,232,77.33333333,0,2024-04-01
17,Tally,77,100,81,258,86,0,2024-04-01
18,Wilbur,90,80,97,267,89,0,2024-04-08
19,Evelyn,50,91,56,197,65.66666667,0,2024-04-06
20,Chere,88,97,73,258,86,0,2024-04-07
21,Jobye,91,98,98,287,95.66666667,0,2024-04-01
22,Caria,79,55,52,186,62,0,2024-04-05
23,Toni,68,96,99,263,87.66666667,0,2024-04-02
24,Lisle,96,56,75,227,75.66666667,0,2024-04-06
25,Annette,72,82,66,220,73.33333333,0,2024-04-02
26,Kalil,78,58,76,212,70.66666667,0,2024-04-03
27,Dolly,96,82,87,265,88.33333333,0,2024-04-05
28,Byron,84,58,83,225,75,0,2024-04-07
29,Linette,61,55,57,173,57.66666667,0,2024-04-01
30,Bertie,59,78,52,189,63,0,2024-04-02
31,Berky,91,53,90,234,78,0,2024-04-05
32,Any,84,60,80,224,74.66666667,0,2024-04-07
33,Codie,55,78,100,233,77.66666667,0,2024-04-02
34,Armin,62,70,93,225,75,0,2024-04-06
35,Florina,83,87,92,262,87.33333333,0,2024-04-07
36,Douglass,76,79,62,217,72.33333333,0,2024-04-04
37,Sheppard,66,82,75,223,74.33333333,0,2024-04-07
38,Orsa,61,100,98,259,86.33333333,0,2024-04-07
39,Remus,85,62,68,215,71.66666667,0,2024-04-08
40,Sal,73,73,100,246,82,0,2024-04-04
41,Barri,62,55,94,211,70.33333333,0,2024-04-03
42,Farrell,53,77,90,220,73.33333333,0,2024-04-07
43,Rosetta,97,73,84,254,84.66666667,0,2024-04-03
44,Eberto,51,93,91,235,78.33333333,0,2024-04-07
45,Valentino,87,62,86,235,78.33333333,0,2024-04-02
46,Gayle,72,51,73,196,65.33333333,0,2024-04-04
47,Vivyanne,75,89,98,262,87.33333333,0,2024-04-07
48,Shirlee,62,58,54,174,58,0,2024-04-01
49,Toiboid,73,52,89,214,71.33333333,0,2024-04-01
50,Kelvin,57,99,72,228,76,0,2024-04-03
51,Ange,94,78,60,232,77.33333333,0,2024-04-03
52,Dani,59,95,55,209,69.66666667,0,2024-04-09
53,Tad,56,56,86,198,66,0,2024-04-02
54,Robinet,73,72,60,205,68.33333333,0,2024-04-03
55,Gerhardt,61,95,82,238,79.33333333,0,2024-04-05
56,Issie,55,73,69,197,65.66666667,0,2024-04-04
57,Tilda,65,62,80,207,69,0,2024-04-02
58,Horatio,59,87,100,246,82,0,2024-04-05
59,Mayer,78,64,95,237,79,0,2024-04-07
60,Glenden,90,69,62,221,73.66666667,0,2024-04-04
61,Aldo,84,95,67,246,82,0,2024-04-03
62,Viole,60,52,97,209,69.66666667,0,2024-04-01
63,Erhart,88,73,62,223,74.33333333,0,2024-04-01
64,Sarah,53,61,71,185,61.66666667,0,2024-04-03
65,Jared,76,91,75,242,80.66666667,0,2024-04-05
66,Artemus,92,74,77,243,81,0,2024-04-02
67,Guntar,97,84,88,269,89.66666667,0,2024-04-01
68,Ivy,84,55,100,239,79.66666667,0,2024-04-05
69,Brittaney,100,50,82,232,77.33333333,0,2024-04-01
70,Eveline,72,96,53,221,73.66666667,0,2024-04-02
71,Marcus,52,92,70,214,71.33333333,0,2024-04-05
72,Korney,99,94,98,291,97,0,2024-04-06
73,Wilmette,60,69,50,179,59.66666667,0,2024-04-08
74,Melantha,73,83,64,220,73.33333333,0,2024-04-02
75,Grange,74,93,50,217,72.33333333,0,2024-04-03
76,Demeter,86,52,73,211,70.33333333,0,2024-04-08
77,Claudian,86,55,54,195,65,0,2024-04-04
78,Melli,85,60,91,236,78.66666667,0,2024-04-03
79,Florance,64,87,55,206,68.66666667,0,2024-04-04
80,Tessi,60,97,76,233,77.66666667,0,2024-04-04
81,Marijo,95,62,55,212,70.66666667,0,2024-04-02
82,Rooney,65,68,97,230,76.66666667,0,2024-04-06
83,Elka,53,90,79,222,74,0,2024-04-01
84,Witty,97,76,61,234,78,0,2024-04-05
85,Cortie,69,59,96,224,74.66666667,0,2024-04-04
86,Oona,83,53,85,221,73.66666667,0,2024-04-06
87,Raine,57,91,51,199,66.33333333,0,2024-04-05
88,Fred,92,96,69,257,85.66666667,0,2024-04-08
89,Rube,54,72,50,176,58.66666667,0,2024-04-05
90,Fremont,67,50,94,211,70.33333333,0,2024-04-02
91,Betsey,93,83,84,260,86.66666667,0,2024-04-01
92,Chrystal,60,63,64,187,62.33333333,0,2024-04-04
93,Catina,77,55,81,213,71,0,2024-04-06
94,Pernell,91,67,93,251,83.66666667,0,2024-04-04
95,Nichols,76,83,64,223,74.33333333,0,2024-04-08
96,Dell,100,73,97,270,90,0,2024-04-01
97,Freedman,91,96,57,244,81.33333333,0,2024-04-08
98,Merralee,93,64,67,224,74.66666667,0,2024-04-09
99,Mag,73,53,76,202,67.33333333,0,2024-04-02
100,Ada,53,92,64,209,69.66666667,0,2024-04-06
101,Felicle,50,72,91,213,71,0,2024-04-07
102,Amberly,76,100,88,264,88,0,2024-04-04
103,Heddie,67,73,66,206,68.66666667,0,2024-04-02
104,Desmond,81,52,84,217,72.33333333,0,2024-04-07
105,Ermentrude,80,94,63,237,79,0,2024-04-05
106,Mallorie,89,91,62,242,80.66666667,0,2024-04-09
107,Jeralee,69,68,89,226,75.33333333,0,2024-04-09
108,Maire,60,86,64,210,70,0,2024-04-03
109,Cristal,60,94,61,215,71.66666667,0,2024-04-06
110,Norina,90,75,52,217,72.33333333,0,2024-04-09
111,Dag,91,52,55,198,66,0,2024-04-01
112,Dewie,58,60,90,208,69.33333333,0,2024-04-09
113,Demetria,63,66,89,218,72.66666667,0,2024-04-02
114,Baird,76,100,53,229,76.33333333,0,2024-04-05
115,Sheba,73,81,62,216,72,0,2024-04-01
116,Brett,50,92,61,203,67.66666667,0,2024-04-09
