no,name,kor,eng,math,total,avg,rank,c_date
1,Michell,55,87,68,210,70,0,2024-04-04
2,Ricard,73,69,77,219,73,0,2024-04-01
3,Goraud,92,97,90,279,93,0,2024-04-04
4,Melli,98,60,78,236,78.6666666667,0,2024-04-04
5,Jo-ann,66,72,59,197,65.6666666667,0,2024-04-06
6,Maximilien,64,66,63,193,64.3333333333,0,2024-04-08
7,Billi,84,81,97,262,87.3333333333,0,2024-04-02
8,Amelia,58,69,95,222,74,0,2024-04-02
9,Otho,95,58,72,225,75,0,2024-04-03
10,Danya,60,97,72,229,76.3333333333,0,2024-04-09
11,Toiboid,63,99,87,249,83,0,2024-04-09
12,Mendel,80,59,72,211,70.3333333333,0,2024-04-01
13,Elnora,74,91,76,241,80.3333333333,0,2024-04-03
14,Krysta,77,65,79,221,73.6666666667,0,2024-04-05
15,Ward,81,55,91,227,75.6666666667,0,2024-04-08
16,Bella,82,100,50,232,77.3333333333,0,2024-04-01
17,Teri,77,100,81,258,86,0,2024-04-01
18,Pegeen,90,80,97,267,89,0,2024-04-08
19,Tresa,50,91,56,197,65.6666666667,0,2024-04-06
20,Norbert,88,97,73,258,86,0,2024-04-07
21,Nat,91,98,98,287,95.6666666667,0,2024-04-01
22,Eleonora,79,55,52,186,62,0,2024-04-05
23,Shayne,68,96,99,263,87.6666666667,0,2024-04-02
24,Michell,96,56,75,227,75.6666666667,0,2024-04-06
25,Kipp,72,82,66,220,73.3333333333,0,2024-04-02
26,Dino,78,58,76,212,70.6666666667,0,2024-04-03
27,Quintin,96,82,87,265,88.3333333333,0,2024-04-05
28,Ario,84,58,83,225,75,0,2024-04-07
29,Chicky,61,55,57,173,57.6666666667,0,2024-04-01
30,Kirby,59,78,52,189,63,0,2024-04-02
31,Jeanette,91,53,90,234,78,0,2024-04-05
32,Etienne,84,60,80,224,74.6666666667,0,2024-04-07
33,Crystie,55,78,100,233,77.6666666667,0,2024-04-02
34,Cherilynn,62,70,93,225,75,0,2024-04-06
35,Nissa,83,87,92,262,87.3333333333,0,2024-04-07
36,Del,76,79,62,217,72.3333333333,0,2024-04-04
37,Tadio,66,82,75,223,74.3333333333,0,2024-04-07
38,Bab,61,100,98,259,86.3333333333,0,2024-04-07
