no,name,kor,eng,math,total,avg
1,Cammi,62,70,81,213,71
2,Rafael,90,62,79,231,77
3,Papageno,64,73,50,187,62.3333333333
4,Celine,76,54,83,213,71
5,Stacee,51,55,72,178,59.3333333333
6,Simone,89,60,79,228,76
7,Karna,77,67,82,226,75.3333333333
8,Tymon,55,77,86,218,72.6666666667
9,Dare,73,51,50,174,58
10,Prent,53,100,94,247,82.3333333333
11,Teddi,83,56,54,193,64.3333333333
12,Danica,93,57,71,221,73.6666666667
13,Elsi,75,63,68,206,68.6666666667
14,Jacenta,63,65,50,178,59.3333333333
15,Anselm,60,70,81,211,70.3333333333
16,Reeva,67,58,96,221,73.6666666667
17,Tobiah,65,59,55,179,59.6666666667
18,Gary,94,68,100,262,87.3333333333
19,Issiah,60,54,75,189,63
20,Cathrine,88,98,59,245,81.6666666667
21,Bibby,70,93,87,250,83.3333333333
22,Ardath,54,54,51,159,53
23,Stace,64,76,63,203,67.6666666667
24,Shawnee,68,81,54,203,67.6666666667
25,Laural,53,51,69,173,57.6666666667
26,Callie,68,98,92,258,86
27,Edie,89,77,90,256,85.3333333333
28,Rinaldo,68,51,76,195,65
29,Dulsea,55,76,70,201,67
30,Brandie,76,70,52,198,66
31,Eustacia,73,62,70,205,68.3333333333
32,Iolande,53,53,65,171,57
33,Erena,66,59,89,214,71.3333333333
34,Samuele,90,58,79,227,75.6666666667
35,Gilberte,54,76,94,224,74.6666666667
36,Robena,55,58,50,163,54.3333333333
37,Gigi,66,60,77,203,67.6666666667
38,Wade,69,87,83,239,79.6666666667
39,Nicko,58,80,72,210,70
40,Christabella,91,58,76,225,75
41,Norine,55,69,87,211,70.3333333333
42,Burt,52,93,91,236,78.6666666667
43,Debbi,55,71,86,212,70.6666666667
44,Clayborne,56,57,64,177,59
45,Petr,74,59,54,187,62.3333333333
46,Leda,77,95,68,240,80
47,Mae,70,63,61,194,64.6666666667
48,Margette,97,52,91,240,80
49,Gabriela,69,99,60,228,76
50,Marve,93,75,70,238,79.3333333333
51,Lilli,61,83,92,236,78.6666666667
52,Barri,57,97,69,223,74.3333333333
53,Kelsy,63,97,56,216,72
54,Llywellyn,66,89,90,245,81.6666666667
55,Blair,98,89,71,258,86
56,Missie,100,63,59,222,74
57,Towney,91,69,97,257,85.6666666667
58,Gibb,67,87,68,222,74
59,Ezra,54,52,68,174,58
60,Claudius,71,82,70,223,74.3333333333
61,Florian,77,56,97,230,76.6666666667
62,Herman,58,91,92,241,80.3333333333
63,Lonnie,60,68,50,178,59.3333333333
64,Loren,64,55,84,203,67.6666666667
65,Joanne,98,96,54,248,82.6666666667
66,Brett,77,51,66,194,64.6666666667
67,Meade,60,100,59,219,73
68,Shell,51,54,66,171,57
69,Raine,99,73,74,246,82
70,Laurella,85,97,67,249,83
71,Bartolemo,99,93,78,270,90
72,Candi,73,97,79,249,83
73,Damian,100,89,75,264,88
74,Gibby,57,77,72,206,68.6666666667
75,Berta,89,67,81,237,79
76,Stirling,92,93,71,256,85.3333333333
77,Charin,91,61,61,213,71
78,Gerta,62,91,58,211,70.3333333333
79,Jody,82,87,74,243,81
80,Aloysia,66,97,93,256,85.3333333333
81,Moyna,59,51,58,168,56
82,Lexine,97,82,66,245,81.6666666667
83,Ebeneser,57,78,75,210,70
84,Cortie,85,66,74,225,75
85,Ira,60,95,93,248,82.6666666667
86,Elinore,60,85,74,219,73
87,Myron,62,78,59,199,66.3333333333
88,Guss,55,98,53,206,68.6666666667
89,Kris,62,97,65,224,74.6666666667
90,Orton,86,94,77,257,85.6666666667
91,Alejandrina,81,90,62,233,77.6666666667
92,Osborne,55,61,72,188,62.6666666667
93,Jarvis,65,89,87,241,80.3333333333
94,Rosalyn,55,92,58,205,68.3333333333
95,Nydia,65,60,53,178,59.3333333333
96,Karena,97,89,92,278,92.6666666667
97,Tedie,96,99,58,253,84.3333333333
98,Gordon,96,53,83,232,77.3333333333
99,Xenia,100,61,55,216,72
100,Cesaro,72,59,77,208,69.3333333333
