no,name,school,grade,gender,kor,eng,math,sw
1,Stuart,구로고,3,Male,64,50,57,javascript
2,Glenn,구로고,4,Female,59,83,84,python
3,Maridel,디지털고,4,Female,55,68,78,javascript
4,Annora,구로고,4,Female,60,88,76,python
5,Giff,단지고,4,Male,94,92,58,python
6,Myriam,디지털고,2,Female,58,96,85,C
7,Sauveur,단지고,3,Male,59,68,75,""
8,Grete,디지털고,4,Female,56,84,57,""
9,Bo,단지고,4,Male,51,50,50,C
10,Keelia,디지털고,3,Female,52,59,92,""
11,Arlena,구로고,4,Female,87,97,98,python
12,Erna,디지털고,3,Female,54,75,50,python
13,Paulie,디지털고,3,Male,71,85,92,C
14,Dela,구로고,1,Female,69,76,95,C
15,Lorrie,단지고,3,Female,57,88,67,python
16,Viki,디지털고,4,Female,52,93,75,javascript
17,Theodore,구로고,3,Male,55,61,55,javascript
18,Annabal,디지털고,4,Female,83,57,73,python
19,Lea,디지털고,3,Female,69,51,92,C
20,Myranda,구로고,1,Female,83,96,75,C
21,Ketti,구로고,2,Female,96,55,88,Java
22,Else,구로고,3,Female,51,88,86,C
23,Reuven,단지고,1,Male,63,76,71,Java
24,Gennifer,디지털고,1,Female,66,79,90,Java
25,Christopher,구로고,3,Male,66,61,80,C
26,Moll,구로고,4,Female,66,87,93,python
27,Nikolai,디지털고,2,Male,99,58,98,Java
28,Reube,구로고,2,Male,78,68,54,Java
29,Mikol,단지고,3,Male,71,98,99,C
30,Davie,디지털고,4,Male,73,69,68,javascript
31,Piggy,단지고,2,Male,82,53,57,javascript
32,Charley,단지고,3,Male,67,91,68,python
33,Sheelah,구로고,4,Female,66,62,57,C
34,Hershel,디지털고,4,Male,72,66,54,""
35,Phebe,디지털고,3,Female,99,72,90,Java
36,Damara,구로고,4,Female,100,88,79,""
37,Marlane,디지털고,1,Female,89,51,85,python
38,Ninnetta,디지털고,1,Female,78,86,53,""
39,Henrik,구로고,2,Male,50,61,99,Java
40,Jere,디지털고,1,Male,99,76,85,python
41,Duffy,디지털고,3,Male,94,83,62,C
42,Kristoforo,구로고,3,Male,73,94,85,Java
43,Darb,구로고,3,Male,54,62,73,""
44,Redford,구로고,3,Male,56,99,94,C
45,Ber,구로고,4,Male,64,98,80,""
46,Sher,단지고,3,Female,55,88,82,javascript
47,Berny,구로고,3,Female,61,75,55,C
48,Sauncho,단지고,2,Male,71,89,69,C
49,Law,단지고,3,Male,62,67,58,""
50,Bendicty,구로고,1,Male,77,51,60,C
51,Ganny,구로고,3,Male,60,73,97,Java
52,Trula,구로고,4,Female,54,95,79,C
53,Seumas,단지고,3,Male,62,51,87,javascript
54,Marty,디지털고,2,Female,98,94,70,Java
55,Randell,단지고,3,Male,91,94,87,""
56,Stevana,디지털고,4,Female,68,52,68,python
57,Osbourne,디지털고,1,Male,70,60,78,""
58,Putnem,디지털고,1,Male,65,84,73,""
59,Erie,디지털고,1,Male,92,80,93,C
60,Jerrylee,디지털고,3,Female,53,67,77,python
61,Blayne,구로고,4,Male,85,94,50,javascript
62,Ulrike,구로고,1,Female,50,91,77,Java
63,Licha,디지털고,3,Female,59,78,54,Java
64,Dasha,단지고,1,Female,88,53,73,python
65,Georgeanne,구로고,3,Female,59,60,58,""
66,Nathalia,디지털고,3,Female,69,85,67,javascript
67,Sophia,디지털고,2,Female,86,56,54,C
68,Hank,디지털고,3,Male,60,92,98,""
69,Daryl,단지고,2,Female,82,67,55,Java
70,Octavia,구로고,4,Female,73,51,91,C
71,Rex,구로고,3,Male,61,65,77,javascript
72,Danila,디지털고,1,Female,75,94,56,Java
73,Rick,구로고,3,Male,58,88,97,C
